Jul.Day YYYY/MM/DD Wdy USD/XAU USD/XAG USD/XPT USD/CAD USD/EUR USD/JPY USD/GBP USD/CHF USD/AUD USD/HKD USD/NZD USD/KRW USD/MXN
2454214 2007/04/23 Mon 688.70 13.8600 1318.00 0.89071 1.3579 0.0084395 2.0015 0.82729 0.83380 0.12796 0.74606 0.00107954 0.091209
2454215 2007/04/24 Tue 688.40 14.0300 1321.00 0.89055 1.3622 0.0084371 2.0027 0.83106 0.82839 0.12794 0.74254 0.00107846 0.090925
2454216 2007/04/25 Wed 684.00 13.7900 1307.00 0.89726 1.3646 0.0084289 2.0040 0.83131 0.83311 0.12791 0.74509 0.00107941 0.091431
2454217 2007/04/26 Thu 673.00 13.6600 1300.00 0.89270 1.3590 0.0083673 1.9903 0.82699 0.82548 0.12786 0.73719 0.00107659 0.091502
2454218 2007/04/27 Fri 677.50 13.3500 1281.00 0.89662 1.3625 0.0083610 1.9982 0.82758 0.83107 0.12785 0.74097 0.00107594 0.091545
2454221 2007/04/30 Mon 677.00 13.5000 1286.00 0.90359 1.3659 0.0083727 1.9999 0.82904 0.83248 0.12785 0.74239 0.00107436 0.091533
2454222 2007/05/01 Tue 673.60 13.4500 1285.00 0.90179 1.3600 0.0083479 1.9994 0.82289 0.82866 0.12784 0.74164 0.00107404 0.091442
2454223 2007/05/02 Wed 669.50 13.1800 1285.00 0.90196 1.3596 0.0083296 1.9909 0.82394 0.82484 0.12785 0.73861 0.00107513 0.091458
2454224 2007/05/03 Thu 674.20 13.3300 1299.00 0.90334 1.3565 0.0083099 1.9878 0.82295 0.82421 0.12785 0.73623 0.00107859 0.091780
2454225 2007/05/04 Fri 688.80 13.4000 1311.00 0.90342 1.3587 0.0083214 1.9931 0.82555 0.82058 0.12786 0.73512 0.00107778 0.091878
2454228 2007/05/07 Mon 0.0 0.0 0.0 0.90711 1.3616 0.0083354 1.9944 0.82674 0.82538 0.12790 0.73784 0.00108400 0.092163
2454229 2007/05/08 Tue 684.25 13.4800 1328.00 0.90514 1.3532 0.0083409 1.9900 0.82087 0.82757 0.12791 0.73715 0.00108345 0.092143
2454230 2007/05/09 Wed 683.00 13.4500 1326.00 0.90383 1.3549 0.0083469 1.9964 0.82194 0.82845 0.12788 0.73436 0.00108279 0.092372
2454231 2007/05/10 Thu 673.50 13.2900 0.0 0.90310 1.3512 0.0083067 1.9831 0.82010 0.83193 0.12787 0.73259 0.00108101 0.092477
2454232 2007/05/11 Fri 669.00 13.0400 1324.00 0.89807 1.3519 0.0083197 1.9823 0.82057 0.83251 0.12787 0.73399 0.00107948 0.092411
2454235 2007/05/14 Mon 670.20 13.1900 1329.00 0.90342 1.3543 0.0083088 1.9801 0.82003 0.83322 0.12801 0.73792 0.00108230 0.092601
2454236 2007/05/15 Tue 668.25 13.0200 1320.00 0.91100 1.3603 0.0083174 1.9861 0.82400 0.83474 0.12797 0.73864 0.00108226 0.092648
2454237 2007/05/16 Wed 667.75 13.1600 1326.00 0.90670 1.3521 0.0082827 1.9775 0.81820 0.82464 0.12790 0.73289 0.00108260 0.092665
2454238 2007/05/17 Thu 656.75 12.9000 1302.00 0.91100 1.3494 0.0082436 1.9747 0.81498 0.82181 0.12787 0.73044 0.00108226 0.092557
2454239 2007/05/18 Fri 657.00 12.8700 1308.00 0.91878 1.3510 0.0082571 1.9755 0.81514 0.82479 0.12789 0.73089 0.00107038 0.092337
2454243 2007/05/22 Tue 662.00 13.0700 1294.00 0.92123 1.3463 0.0082321 1.9768 0.81290 0.82128 0.12782 0.72741 0.00107508 0.092860
2454244 2007/05/23 Wed 662.05 12.9600 1295.00 0.92439 1.3482 0.0082289 1.9880 0.81521 0.82464 0.12783 0.73100 0.00107321 0.092808
2454245 2007/05/24 Thu 659.00 13.0400 1290.00 0.92242 1.3429 0.0082326 1.9851 0.81330 0.82068 0.12782 0.72512 0.00107370 0.092335
2454246 2007/05/25 Fri 655.30 12.9250 1276.00 0.92627 1.3451 0.0082151 1.9843 0.81419 0.81882 0.12784 0.72629 0.00107725 0.092812
2454249 2007/05/28 Mon 0.0 0.0 0.0 0.92584 1.3453 0.0082196 1.9832 0.81400 0.81955 0.12788 0.72642 0.00107675 0.092769
2454250 2007/05/29 Tue 660.15 13.0300 1267.00 0.93292 1.3483 0.0082107 1.9812 0.81780 0.82022 0.12788 0.72908 0.00107753 0.092639
2454251 2007/05/30 Wed 652.65 13.1100 1257.00 0.92989 1.3418 0.0082313 1.9745 0.81560 0.82202 0.12813 0.73043 0.00107402 0.092486
2454252 2007/05/31 Thu 659.10 13.2500 1262.00 0.93467 1.3452 0.0082130 1.9796 0.81606 0.82709 0.12806 0.73642 0.00107767 0.093121
2454253 2007/06/01 Fri 666.50 13.5300 1290.00 0.94304 1.3439 0.0081894 1.9806 0.81299 0.83129 0.12803 0.74349 0.00107695 0.093352
2454256 2007/06/04 Mon 671.10 13.6700 1292.00 0.94518 1.3488 0.0082145 1.9923 0.81767 0.83412 0.12810 0.74717 0.00107751 0.093053
2454257 2007/06/05 Tue 671.50 13.7100 1296.00 0.94286 1.3525 0.0082312 1.9939 0.82057 0.83707 0.12806 0.75146 0.00107864 0.092617
2454258 2007/06/06 Wed 669.70 13.6900 1288.00 0.94464 1.3490 0.0082590 1.9914 0.82118 0.84073 0.12801 0.75043 0.00107878 0.092103
2454259 2007/06/07 Thu 668.75 13.6500 1288.00 0.94224 1.3456 0.0082408 1.9796 0.81673 0.84463 0.12796 0.75521 0.00107887 0.091756
2454260 2007/06/08 Fri 655.25 13.3100 1300.00 0.94144 1.3359 0.0082216 1.9656 0.81002 0.84250 0.12794 0.75654 0.00107419 0.091075
2454263 2007/06/11 Mon 650.30 13.1600 1288.00 0.94215 1.3360 0.0082108 1.9684 0.80733 0.84247 0.12797 0.74920 0.00107217 0.091615
2454264 2007/06/12 Tue 647.25 13.1500 1290.00 0.94029 1.3325 0.0082116 1.9749 0.80498 0.84391 0.12793 0.75205 0.00107569 0.091537
2454265 2007/06/13 Wed 647.65 12.8600 1275.00 0.93747 1.3294 0.0081720 1.9728 0.80341 0.84016 0.12796 0.75045 0.00107340 0.091253
2454266 2007/06/14 Thu 653.25 13.0400 1276.00 0.93598 1.3311 0.0081318 1.9697 0.80307 0.83489 0.12792 0.75009 0.00107544 0.091670
2454267 2007/06/15 Fri 653.10 13.0600 1278.00 0.93642 1.3364 0.0080934 1.9763 0.80457 0.83978 0.12789 0.75316 0.00107688 0.092499
2454270 2007/06/18 Mon 656.00 13.3100 1293.00 0.93275 1.3401 0.0080851 1.9822 0.80580 0.84199 0.12792 0.75375 0.00107732 0.092864
2454271 2007/06/19 Tue 656.30 13.1900 1289.00 0.93994 1.3416 0.0081032 1.9883 0.80618 0.84595 0.12792 0.75787 0.00107811 0.093101
2454272 2007/06/20 Wed 657.70 13.3400 1295.00 0.93932 1.3428 0.0080903 1.9936 0.80800 0.84567 0.12797 0.76235 0.00107740 0.092767
2454273 2007/06/21 Thu 650.50 13.1700 1290.00 0.93197 1.3399 0.0080858 1.9922 0.80606 0.84679 0.12800 0.76198 0.00107828 0.092423
2454274 2007/06/22 Fri 652.85 13.1550 1301.00 0.93668 1.3438 0.0080573 1.9975 0.81191 0.84817 0.12795 0.76705 0.00107718 0.092638
2454277 2007/06/25 Mon 650.75 13.1700 1290.00 0.93344 1.3450 0.0080743 1.9961 0.81266 0.84794 0.12800 0.76626 0.00107906 0.092458
2454278 2007/06/26 Tue 647.00 12.8500 1273.00 0.93519 1.3468 0.0080969 1.9995 0.81399 0.84729 0.12799 0.76667 0.00107921 0.092284
2454279 2007/06/27 Wed 642.10 12.2600 1266.00 0.93318 1.3433 0.0081616 1.9965 0.81355 0.83753 0.12796 0.75877 0.00107783 0.092021
2454280 2007/06/28 Thu 647.25 12.4250 1266.00 0.94100 1.3467 0.0081293 2.0021 0.81387 0.84605 0.12793 0.76917 0.00107933 0.092707
2454281 2007/06/29 Fri 650.50 12.5400 1273.00 0.94038 1.3519 0.0081042 2.0061 0.81700 0.84907 0.12789 0.77290 0.00108238 0.092675
2454285 2007/07/03 Tue 654.25 12.6000 1281.00 0.94375 1.3615 0.0081701 2.0167 0.82286 0.85428 0.12799 0.78105 0.00108909 0.092846
2454286 2007/07/04 Wed 654.15 12.6050 1283.00 0.94607 1.3623 0.0081542 2.0157 0.82214 0.85790 0.12800 0.78174 0.00108704 0.092980
2454287 2007/07/05 Thu 651.00 12.6000 1290.00 0.94643 1.3592 0.0081412 2.0114 0.82113 0.85614 0.12791 0.78289 0.00108461 0.092637
2454288 2007/07/06 Fri 648.75 12.4000 1287.00 0.95420 1.3626 0.0081117 2.0117 0.82099 0.85677 0.12791 0.78225 0.00108779 0.092758
2454291 2007/07/09 Mon 0.0 0.0 0.0 0.95429 1.3622 0.0081077 2.0166 0.82174 0.86029 0.12796 0.78089 0.00108598 0.092967
2454292 2007/07/10 Tue 661.70 12.7600 1296.00 0.95048 1.3714 0.0081836 2.0247 0.82806 0.86208 0.12794 0.77920 0.00108735 0.092757
2454293 2007/07/11 Wed 663.00 12.9500 1306.00 0.94715 1.3757 0.0081881 2.0316 0.83037 0.86133 0.12794 0.77922 0.00108827 0.092375
2454294 2007/07/12 Thu 667.25 12.9500 0.0 0.95520 1.3776 0.0081613 2.0288 0.83102 0.86398 0.12793 0.78183 0.00108893 0.092750
2454295 2007/07/13 Fri 666.50 13.1250 1313.00 0.95447 1.3787 0.0081970 2.0344 0.83191 0.86857 0.12788 0.78582 0.00109096 0.092889
2454298 2007/07/16 Mon 666.00 13.0300 1313.00 0.95877 1.3783 0.0082042 2.0373 0.83202 0.87220 0.12787 0.79204 0.00108917 0.092838
2454299 2007/07/17 Tue 666.50 12.9000 1309.00 0.95822 1.3782 0.0081717 2.0454 0.83126 0.87313 0.12787 0.79092 0.00108950 0.092938
2454300 2007/07/18 Wed 666.75 12.9400 1309.00 0.95813 1.3807 0.0082073 2.0533 0.83348 0.87765 0.12787 0.79381 0.00109131 0.093015
2454301 2007/07/19 Thu 674.50 13.2500 1322.00 0.95914 1.3811 0.0081920 2.0487 0.83167 0.87944 0.12786 0.79197 0.00109150 0.093209
2454302 2007/07/20 Fri 681.60 13.2900 1332.00 0.95785 1.3830 0.0082529 2.0565 0.83343 0.87950 0.12787 0.79636 0.00109291 0.092615
2454305 2007/07/23 Mon 682.00 13.3400 1329.00 0.95685 1.3818 0.0082413 2.0585 0.82949 0.88346 0.12787 0.80365 0.00109272 0.092957
2454306 2007/07/24 Tue 684.30 13.3400 1333.00 0.96413 1.3824 0.0082935 2.0626 0.82983 0.88392 0.12784 0.80872 0.00109429 0.092672
2454307 2007/07/25 Wed 674.75 13.1750 1317.00 0.95923 1.3710 0.0083108 2.0509 0.82369 0.88269 0.12781 0.80307 0.00109449 0.092000
2454308 2007/07/26 Thu 670.00 13.1300 1314.00 0.95193 1.3731 0.0083922 2.0486 0.82856 0.87796 0.12781 0.79115 0.00108901 0.091366
2454309 2007/07/27 Fri 660.50 12.7500 1284.00 0.94429 1.3645 0.0084354 2.0290 0.82823 0.85571 0.12780 0.76516 0.00108499 0.090812
2454312 2007/07/30 Mon 661.50 12.7300 1270.00 0.93580 1.3681 0.0084447 2.0237 0.83231 0.85083 0.12780 0.76230 0.00108273 0.091072
2454313 2007/07/31 Tue 665.50 12.9300 1292.00 0.93835 1.3712 0.0083926 2.0361 0.83185 0.85934 0.12777 0.77132 0.00108286 0.091489
2454314 2007/08/01 Wed 665.75 12.7700 1283.00 0.94616 1.3682 0.0084237 2.0308 0.83234 0.85363 0.12773 0.76232 0.00108146 0.091239
2454315 2007/08/02 Thu 666.25 12.9600 1287.00 0.94994 1.3691 0.0083784 2.0345 0.82910 0.85931 0.12775 0.76954 0.00108388 0.091460
2454316 2007/08/03 Fri 670.50 12.9600 1286.00 0.94985 1.3785 0.0084432 2.0424 0.83796 0.85724 0.12774 0.76425 0.00108378 0.091195
2454320 2007/08/07 Tue 668.00 12.9900 1282.00 0.94760 1.3748 0.0084412 2.0201 0.83654 0.85435 0.12774 0.76092 0.00108310 0.091178
2454321 2007/08/08 Wed 675.50 13.0300 1286.00 0.95247 1.3809 0.0083475 2.0368 0.83703 0.86161 0.12774 0.76836 0.00108201 0.091513
2454322 2007/08/09 Thu 662.60 12.9750 1268.00 0.94652 1.3700 0.0084260 2.0270 0.83549 0.85405 0.12782 0.75759 0.00108377 0.091084
2454323 2007/08/10 Fri 668.50 12.6900 1269.00 0.94913 1.3686 0.0084747 2.0217 0.83542 0.84548 0.12788 0.74602 0.00107346 0.090917
2454326 2007/08/13 Mon 668.75 12.8700 1276.00 0.95156 1.3624 0.0084395 2.0123 0.82929 0.84299 0.12782 0.74013 0.00107527 0.091007
2454327 2007/08/14 Tue 668.35 12.7600 1272.00 0.94020 1.3581 0.0084609 2.0003 0.82672 0.83810 0.12783 0.73044 0.00107277 0.090523
2454328 2007/08/15 Wed 667.25 12.5100 1262.00 0.93058 1.3479 0.0085325 1.9922 0.82096 0.82412 0.12787 0.71562 0.00107296 0.089903
2454329 2007/08/16 Thu 662.25 12.3650 1245.00 0.92980 1.3400 0.0087699 1.9828 0.82083 0.78596 0.12792 0.67801 0.00105625 0.088731
2454330 2007/08/17 Fri 657.50 11.6900 1245.00 0.94029 1.3490 0.0087851 1.9824 0.83028 0.78881 0.12798 0.68848 0.00105219 0.089817
2454333 2007/08/20 Mon 659.50 11.9500 1249.00 0.94500 1.3467 0.0087328 1.9827 0.82867 0.80060 0.12789 0.69581 0.00106029 0.089898
2454334 2007/08/21 Tue 657.50 11.6700 1244.00 0.94331 1.3482 0.0087397 1.9811 0.83106 0.79992 0.12808 0.69597 0.00106028 0.089925
2454335 2007/08/22 Wed 659.50 11.6800 1240.00 0.94153 1.3534 0.0086988 1.9916 0.82902 0.80416 0.12807 0.70050 0.00105922 0.090387
2454336 2007/08/23 Thu 660.75 11.8800 0.0 0.94625 1.3560 0.0086336 2.0034 0.82911 0.81330 0.12805 0.70875 0.00106170 0.090282
2454337 2007/08/24 Fri 660.85 11.7000 1240.00 0.95012 1.3644 0.0086118 2.0099 0.83221 0.82413 0.12819 0.71819 0.00106223 0.090651
2454340 2007/08/27 Mon 0.0 0.0 0.0 0.95093 1.3646 0.0086164 2.0132 0.83102 0.82874 0.12814 0.71796 0.00106504 0.090586
2454341 2007/08/28 Tue 666.00 11.8300 1255.00 0.94206 1.3625 0.0087179 2.0064 0.83288 0.82063 0.12821 0.70297 0.00106453 0.090089
2454342 2007/08/29 Wed 664.25 11.8000 1260.00 0.94411 1.3674 0.0086575 2.0181 0.83440 0.81883 0.12813 0.70251 0.00106118 0.090210
2454343 2007/08/30 Thu 666.00 11.8600 1266.00 0.94634 1.3647 0.0086344 2.0157 0.83108 0.81821 0.12824 0.70427 0.00106369 0.090205
2454344 2007/08/31 Fri 672.00 11.9500 1268.00 0.94661 1.3640 0.0086322 2.0166 0.82838 0.81541 0.12825 0.70191 0.00106588 0.090638
