Jul.Day YYYY/MM/DD Wdy USD/CAD USD/EUR USD/GBP USD/AUD USD/NZD USD/CHF
2454873 2009/02/10 Tue 0.81090 1.2965 1.4603 0.65877 0.52822 0.86677
2454874 2009/02/11 Wed 0.80489 1.2893 1.4365 0.65462 0.52576 0.86204
2454875 2009/02/12 Thu 0.80148 1.2821 1.4246 0.65048 0.51992 0.85926
2454876 2009/02/13 Fri 0.80431 1.2877 1.4421 0.65921 0.52626 0.86327
2454879 2009/02/16 Mon 0.80405 1.2769 1.4267 0.64839 0.51668 0.85993
2454880 2009/02/17 Tue 0.79359 1.2569 1.4223 0.63844 0.51067 0.85128
2454881 2009/02/18 Wed 0.79390 1.2547 1.4232 0.63822 0.51056 0.84638
2454882 2009/02/19 Thu 0.79397 1.2674 1.4310 0.64494 0.51187 0.85153
2454883 2009/02/20 Fri 0.79739 1.2689 1.4331 0.64182 0.50690 0.85599
2454886 2009/02/23 Mon 0.79923 1.2745 1.4549 0.64538 0.50991 0.85958
2454887 2009/02/24 Tue 0.80192 1.2741 1.4407 0.64283 0.50938 0.85662
2454888 2009/02/25 Wed 0.79643 1.2730 1.4263 0.64742 0.51123 0.85855
2454889 2009/02/26 Thu 0.80283 1.2764 1.4339 0.65342 0.51092 0.85846
2454890 2009/02/27 Fri 0.78697 1.2661 1.4277 0.64193 0.50264 0.85669
2454893 2009/03/02 Mon 0.77580 1.2579 1.3987 0.62994 0.49247 0.85283
2454894 2009/03/03 Tue 0.77292 1.2548 1.4029 0.63851 0.49513 0.85060
2454895 2009/03/04 Wed 0.78339 1.2606 1.4141 0.64975 0.50584 0.85006
2454896 2009/03/05 Thu 0.77658 1.2565 1.4121 0.64083 0.50144 0.85260
2454897 2009/03/06 Fri 0.77742 1.2672 1.4107 0.64052 0.50377 0.86753
